izcode,izname,ttwa11cd,ttwa11nm
S02002515,Culter,S22000047,Aberdeen
S02002516,"Cults, Bieldside and Milltimber West",S22000047,Aberdeen
S02002517,"Cults, Bieldside and Milltimber East",S22000047,Aberdeen
S02002518,"Cults, Bieldside and Milltimber Central",S22000047,Aberdeen
S02002519,Garthdee,S22000047,Aberdeen
S02002520,"Braeside, Mannofield, Broomhill and Seafield East",S22000047,Aberdeen
S02002521,"Braeside, Mannofield, Broomhill and Seafield South",S22000047,Aberdeen
S02002522,"Braeside, Mannofield, Broomhill and Seafield North",S22000047,Aberdeen
S02002523,Hazlehead,S22000047,Aberdeen
S02002524,Summerhill,S22000047,Aberdeen
S02002525,Midstocket,S22000047,Aberdeen
S02002526,Rosemount,S22000047,Aberdeen
S02002527,West End North,S22000047,Aberdeen
S02002528,West End South,S22000047,Aberdeen
S02002529,City Centre West,S22000047,Aberdeen
S02002530,City Centre East,S22000047,Aberdeen
S02002531,Ferryhill North,S22000047,Aberdeen
S02002532,Ferryhill South,S22000047,Aberdeen
S02002533,"Kincorth, Leggart and Nigg North",S22000047,Aberdeen
S02002534,"Kincorth, Leggart and Nigg South",S22000047,Aberdeen
S02002535,Cove South,S22000047,Aberdeen
S02002536,Cove North,S22000047,Aberdeen
S02002537,Torry West,S22000047,Aberdeen
S02002538,Torry East,S22000047,Aberdeen
S02002539,Hanover South,S22000047,Aberdeen
S02002540,Hanover North,S22000047,Aberdeen
S02002541,George Street,S22000047,Aberdeen
S02002542,Ashgrove,S22000047,Aberdeen
S02002543,"Froghall, Powis and Sunnybank",S22000047,Aberdeen
S02002544,Seaton,S22000047,Aberdeen
S02002545,Old Aberdeen,S22000047,Aberdeen
S02002546,Tillydrone,S22000047,Aberdeen
S02002547,Woodside,S22000047,Aberdeen
S02002548,Hilton,S22000047,Aberdeen
S02002549,Stockethill,S22000047,Aberdeen
S02002550,Mastrick,S22000047,Aberdeen
S02002551,Sheddocksley,S22000047,Aberdeen
S02002552,Cummings Park,S22000047,Aberdeen
S02002553,Northfield,S22000047,Aberdeen
S02002554,Heathryfold and Middlefield,S22000047,Aberdeen
S02002555,Kingswells,S22000047,Aberdeen
S02002556,Kingswells North and Newhills,S22000047,Aberdeen
S02002557,Bucksburn South,S22000047,Aberdeen
S02002558,Bucksburn North,S22000047,Aberdeen
S02002559,Dyce,S22000047,Aberdeen
S02002560,Danestone,S22000047,Aberdeen
S02002561,Oldmachar West,S22000047,Aberdeen
S02002562,Oldmachar East,S22000047,Aberdeen
S02002563,Balgownie and Donmouth West,S22000047,Aberdeen
